               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.039636,             0.03183,           0.0045665,             0.76512,              0.6678,             0.73134,             0.51948,            0.034447,            0.019614,            0.002478,           0.0078532,           0.0078532,           0.0078532
                 106,            0.039637,            0.031781,           0.0045212,             0.76339,             0.67064,             0.73244,             0.52046,            0.034414,            0.019589,           0.0024664,            0.007816,            0.007816,            0.007816
                 107,            0.039514,            0.031739,           0.0044842,             0.76143,             0.67326,             0.73344,             0.52144,             0.03438,            0.019566,           0.0024547,           0.0077785,           0.0077785,           0.0077785
                 108,            0.039479,            0.031677,           0.0044521,             0.75659,             0.67804,             0.73425,             0.52214,            0.034345,            0.019543,           0.0024437,           0.0077409,           0.0077409,           0.0077409
                 109,            0.039489,            0.031897,           0.0044223,             0.75615,             0.67938,             0.73508,             0.52298,            0.034309,             0.01952,           0.0024323,           0.0077031,           0.0077031,           0.0077031
                 110,            0.039423,            0.031494,           0.0044721,              0.7617,              0.6767,             0.73596,             0.52383,            0.034275,            0.019499,           0.0024214,           0.0076651,           0.0076651,           0.0076651
                 111,            0.039378,              0.0317,           0.0044833,             0.76194,             0.67758,             0.73663,             0.52459,            0.034242,            0.019477,           0.0024107,           0.0076269,           0.0076269,           0.0076269
                 112,            0.039389,            0.031603,           0.0044029,             0.76449,             0.67753,              0.7377,             0.52545,            0.034207,            0.019453,           0.0023987,           0.0075886,           0.0075886,           0.0075886
                 113,            0.039361,              0.0316,           0.0044461,             0.76248,             0.68001,             0.73847,             0.52628,            0.034171,            0.019431,           0.0023872,           0.0075501,           0.0075501,           0.0075501
                 114,            0.039377,            0.031639,           0.0044027,             0.76024,             0.68234,             0.73936,             0.52704,            0.034137,             0.01941,           0.0023776,           0.0075114,           0.0075114,           0.0075114
                 115,            0.039334,            0.031725,           0.0043896,             0.76114,             0.68314,             0.74008,             0.52789,            0.034105,            0.019388,           0.0023683,           0.0074725,           0.0074725,           0.0074725
                 116,            0.039326,            0.031641,            0.004364,             0.76686,             0.68011,             0.74095,             0.52856,            0.034075,            0.019367,           0.0023593,           0.0074335,           0.0074335,           0.0074335
                 117,            0.039382,            0.031602,           0.0044444,             0.76931,             0.68033,             0.74196,             0.52942,            0.034045,            0.019347,           0.0023495,           0.0073943,           0.0073943,           0.0073943
                 118,            0.039245,            0.031542,           0.0043916,             0.76986,             0.68086,             0.74292,             0.53019,            0.034013,            0.019327,           0.0023391,            0.007355,            0.007355,            0.007355
